Franchise,Movie Title,Movie Revenue,Total Franchise Revenue,% of Total Franchise Revenue
Star Wars,Star Wars,775398007.0,10324020963.0,7.5106202300337195
Star Wars,The Empire Strikes Back,538400000.0,10324020963.0,5.215022343809241
Star Wars,Return of the Jedi,572700000.0,10324020963.0,5.547257236811948
Star Wars,Star Wars: Episode I - The Phantom Menace,924317558.0,10324020963.0,8.95307711319687
Star Wars,Star Wars: Episode II - Attack of the Clones,649398328.0,10324020963.0,6.29016863029785
Star Wars,Star Wars: Episode III - Revenge of the Sith,850000000.0,10324020963.0,8.233226211437323
Star Wars,Star Wars: The Force Awakens,2068223624.0,10324020963.0,20.033121120271403
Star Wars,Rogue One: A Star Wars Story,1056057273.0,10324020963.0,10.229127553932496
James Bond,GoldenEye,352194034.0,7119674009.0,4.946771910550828
James Bond,Tomorrow Never Dies,333011068.0,7119674009.0,4.677335894579439
James Bond,A View to a Kill,152427960.0,7119674009.0,2.1409401583178584
James Bond,Goldfinger,124881062.0,7119674009.0,1.7540278086066512
James Bond,From Russia with Love,78898765.0,7119674009.0,1.1081794601868546
James Bond,Dr. No,59600000.0,7119674009.0,0.8371169792979212
James Bond,For Your Eyes Only,195312802.0,7119674009.0,2.7432829333633046
James Bond,Licence to Kill,156167015.0,7119674009.0,2.1934573802478714
James Bond,Live and Let Die,161777836.0,7119674009.0,2.272264654189169
James Bond,Thunderball,141195658.0,7119674009.0,1.9831758844788983
James Bond,The World Is Not Enough,361832400.0,7119674009.0,5.0821484177872
James Bond,On Her Majesty's Secret Service,81974493.0,7119674009.0,1.151379865094607
James Bond,The Spy Who Loved Me,185438673.0,7119674009.0,2.604594996422399
James Bond,Moonraker,210308099.0,7119674009.0,2.953900680482687
James Bond,The Man with the Golden Gun,97572000.0,7119674009.0,1.3704560051016235
James Bond,Diamonds Are Forever,116019547.0,7119674009.0,1.6295626295998857
James Bond,The Living Daylights,191185897.0,7119674009.0,2.6853181305537497
James Bond,Casino Royale,41744718.0,7119674009.0,0.5863290643255631
James Bond,Die Another Day,431971116.0,7119674009.0,6.0672878484877835
James Bond,You Only Live Twice,111584787.0,7119674009.0,1.5672738226349319
James Bond,Octopussy,187500000.0,7119674009.0,2.6335475439322185
James Bond,Never Say Never Again,160000000.0,7119674009.0,2.247293904155493
James Bond,Casino Royale,599045960.0,7119674009.0,8.413952088856096
James Bond,Quantum of Solace,586090727.0,7119674009.0,8.231988237932256
James Bond,Skyfall,1108561013.0,7119674009.0,15.570390043120863
James Bond,Spectre,880674609.0,7119674009.0,12.369591752188889
Batman,Batman Forever,336529144.0,6052346905.0,5.560308245417733
Batman,Batman,411348924.0,6052346905.0,6.796519275195115
Batman,Batman Returns,280000000.0,6052346905.0,4.626304545905734
Batman,Batman & Robin,238207122.0,6052346905.0,3.9357810406275777
Batman,Batman: Mask of the Phantasm,5617391.0,6052346905.0,0.09281343399796413
Harry Potter,Harry Potter and the Philosopher's Stone,976475550.0,9195390708.0,10.619184991785778
Harry Potter,Harry Potter and the Chamber of Secrets,876688482.0,9195390708.0,9.533999259403735
Harry Potter,Harry Potter and the Prisoner of Azkaban,789804554.0,9195390708.0,8.589135351398056
