movie_id,movie_name,release_date,rating,revenue,production_companies_clean,production_budget
862,Toy Story,10/30/1995,3.4545454545454546,373554033.0,['Pixar Animation Studios'],30000000
8844,Jumanji,12/15/1995,4.125,262797249.0,"['TriStar Pictures', 'Teitler Film', 'Interscope Communications']",65000000
15602,Grumpier Old Men,12/22/1995,,0.0,"['Warner Bros.', 'Lancaster Gate']",0
31357,Waiting to Exhale,12/22/1995,,81452156.0,['Twentieth Century Fox Film Corporation'],16000000
11862,Father of the Bride Part II,2/10/1995,,76578911.0,"['Sandollar Productions', 'Touchstone Pictures']",0
949,Heat,12/15/1995,3.850515463917526,187436818.0,"['Regency Enterprises', 'Forward Pass', 'Warner Bros.']",60000000
11860,Sabrina,12/15/1995,,0.0,"['Paramount Pictures', 'Scott Rudin Productions', 'Mirage Enterprises', 'Sandollar Productions', 'Constellation Entertainment', 'Worldwide', 'Mont Blanc Entertainment GmbH']",58000000
45325,Tom and Huck,12/22/1995,,0.0,['Walt Disney Pictures'],0
9091,Sudden Death,12/22/1995,,64350171.0,"['Universal Pictures', 'Imperial Entertainment', 'Signature Entertainment']",35000000
710,GoldenEye,11/16/1995,2.93,352194034.0,"['United Artists', 'Eon Productions']",58000000
9087,The American President,11/17/1995,,107879496.0,"['Columbia Pictures', 'Castle Rock Entertainment']",62000000
12110,Dracula: Dead and Loving It,12/22/1995,,0.0,"['Columbia Pictures', 'Castle Rock Entertainment', 'Enigma Pictures']",0
21032,Balto,12/22/1995,,11348324.0,"['Universal Pictures', 'Amblin Entertainment', 'Amblimation']",0
10858,Nixon,12/22/1995,,13681765.0,"['Hollywood Pictures', 'Cinergi Pictures Entertainment']",44000000
1408,Cutthroat Island,12/22/1995,3.6925925925925926,10017322.0,"['Le Studio Canal+', 'Laurence Mark Productions', 'Metro-Goldwyn-Mayer (MGM)', 'Carolco Pictures']",98000000
524,Casino,11/22/1995,3.543421052631579,116112375.0,"['Universal Pictures', 'L??gende Entreprises', 'Syalis DA', 'De Fina-Cappa']",52000000
4584,Sense and Sensibility,12/13/1995,2.857142857142857,135000000.0,"['Columbia Pictures Corporation', 'Mirage Enterprises']",16500000
5,Four Rooms,12/9/1995,3.102584814216478,4300000.0,"['Miramax Films', 'A Band Apart']",4000000
9273,Ace Ventura: When Nature Calls,11/10/1995,,212385533.0,"['O Entertainment', 'Warner Bros.', 'Morgan Creek Productions']",30000000
11517,Money Train,11/21/1995,,35431113.0,['Columbia Pictures'],60000000
8012,Get Shorty,10/20/1995,3.7,115101622.0,"['Jersey Films', 'Metro-Goldwyn-Mayer (MGM)']",30250000
1710,Copycat,10/27/1995,1.75,0.0,"['Regency Enterprises', 'New Regency Pictures']",0
9691,Assassins,10/6/1995,,30303072.0,"['Silver Pictures', 'Canal+', 'Warner Bros.', 'Dino De Laurentiis Company', 'Donner/Shuler-Donner Productions', 'Evansgideon/Lazar']",50000000
12665,Powder,10/27/1995,,0.0,"['Caravan Pictures', 'Hollywood Pictures']",0
451,Leaving Las Vegas,10/27/1995,3.0454545454545454,49800000.0,"['United Artists', 'Intial Productions']",3600000
16420,Othello,12/15/1995,,0.0,"['Columbia Pictures', 'Castle Rock Entertainment']",0
9263,Now and Then,10/20/1995,,27400000.0,['New Line Cinema'],12000000
17015,Persuasion,9/27/1995,,0.0,['BBC Films'],0
902,The City of Lost Children,5/16/1995,3.7784431137724552,1738611.0,"['Procirep', 'Constellation Productions', 'France 3 Cin??ma', 'Claudie Ossard Productions', 'Eurimages', 'MEDIA Programme of the European Union', 'Cofimage 5', 'Televisi??n Espa?ñola (TVE)', 'Tele M?¬nchen Fernseh Produktionsgesellschaft (TMG)', ""Club d'Investissement M??dia"", 'Canal+ Espa?ña', 'El??as Querejeta Producciones Cinematogr?\xadficas S.L.', 'Centre National de la Cin??matographie (CNC)', 'Victoires Productions', 'Constellation', 'Lumi??re Pictures', 'Canal+', 'Studio Image', 'Cofimage 4', 'Ossane', 'Phoenix Images']",18000000
37557,Shanghai Triad,4/30/1995,,0.0,"['Minist??re des Affaires ??trang??res', 'Alpha Films', 'La Sept Cin??ma']",0
9909,Dangerous Minds,8/11/1995,,180000000.0,"['Hollywood Pictures', 'Via Rosa Productions', 'Don Simpson/Jerry Bruckheimer Films']",0
63,Twelve Monkeys,12/29/1995,3.2456896551724137,168840000.0,"['Universal Pictures', 'Atlas Entertainment', 'Classico']",29500000
78802,Wings of Courage,9/18/1996,,0.0,['Iwerks Entertainment'],0
9598,Babe,7/18/1995,,254134910.0,"['Universal Pictures', 'Kennedy Miller Productions']",30000000
47018,Carrington,11/8/1995,,0.0,"['StudioCanal', 'Cin??a', 'Euston Films', 'Freeway Films', 'European Co-production Fund', 'Polygram Filmed Entertainment', 'Orsans Productions']",0
687,Dead Man Walking,12/29/1995,3.2,39363635.0,"['Havoc', 'PolyGram Filmed Entertainment', 'Working Title Films']",11000000
139405,Across the Sea of Time,10/20/1995,,0.0,['Sony New Technologies'],0
33689,It Takes Two,11/17/1995,,0.0,"['Dualstar Productions', 'Warner Bros.', 'Rysher Entertainment', 'Orr & Cruickshank']",0
9603,Clueless,7/19/1995,,0.0,['Paramount Pictures'],12000000
34615,"Cry, the Beloved Country",12/15/1995,,676525.0,"['Miramax', 'Distant Horizon', 'Alpine Pty Limited']",0
31174,Richard III,12/29/1995,,0.0,"['British Screen', 'Mayfair Entertainment International']",0
