movie_name,movie_id,production_companies_clean,production_budget
Toy Story,862,['Pixar Animation Studios'],30000000
Jumanji,8844,"['TriStar Pictures', 'Teitler Film', 'Interscope Communications']",65000000
Grumpier Old Men,15602,"['Warner Bros.', 'Lancaster Gate']",0
Waiting to Exhale,31357,['Twentieth Century Fox Film Corporation'],16000000
Father of the Bride Part II,11862,"['Sandollar Productions', 'Touchstone Pictures']",0
Heat,949,"['Regency Enterprises', 'Forward Pass', 'Warner Bros.']",60000000
Sabrina,11860,"['Paramount Pictures', 'Scott Rudin Productions', 'Mirage Enterprises', 'Sandollar Productions', 'Constellation Entertainment', 'Worldwide', 'Mont Blanc Entertainment GmbH']",58000000
Tom and Huck,45325,['Walt Disney Pictures'],0
Sudden Death,9091,"['Universal Pictures', 'Imperial Entertainment', 'Signature Entertainment']",35000000
GoldenEye,710,"['United Artists', 'Eon Productions']",58000000
The American President,9087,"['Columbia Pictures', 'Castle Rock Entertainment']",62000000
Dracula: Dead and Loving It,12110,"['Columbia Pictures', 'Castle Rock Entertainment', 'Enigma Pictures']",0
Balto,21032,"['Universal Pictures', 'Amblin Entertainment', 'Amblimation']",0
Nixon,10858,"['Hollywood Pictures', 'Cinergi Pictures Entertainment']",44000000
Cutthroat Island,1408,"['Le Studio Canal+', 'Laurence Mark Productions', 'Metro-Goldwyn-Mayer (MGM)', 'Carolco Pictures']",98000000
Casino,524,"['Universal Pictures', 'L??gende Entreprises', 'Syalis DA', 'De Fina-Cappa']",52000000
Sense and Sensibility,4584,"['Columbia Pictures Corporation', 'Mirage Enterprises']",16500000
Four Rooms,5,"['Miramax Films', 'A Band Apart']",4000000
Ace Ventura: When Nature Calls,9273,"['O Entertainment', 'Warner Bros.', 'Morgan Creek Productions']",30000000
Money Train,11517,['Columbia Pictures'],60000000
Get Shorty,8012,"['Jersey Films', 'Metro-Goldwyn-Mayer (MGM)']",30250000
Copycat,1710,"['Regency Enterprises', 'New Regency Pictures']",0
Assassins,9691,"['Silver Pictures', 'Canal+', 'Warner Bros.', 'Dino De Laurentiis Company', 'Donner/Shuler-Donner Productions', 'Evansgideon/Lazar']",50000000
Powder,12665,"['Caravan Pictures', 'Hollywood Pictures']",0
Leaving Las Vegas,451,"['United Artists', 'Intial Productions']",3600000
Othello,16420,"['Columbia Pictures', 'Castle Rock Entertainment']",0
Now and Then,9263,['New Line Cinema'],12000000
Persuasion,17015,['BBC Films'],0
The City of Lost Children,902,"['Procirep', 'Constellation Productions', 'France 3 Cin??ma', 'Claudie Ossard Productions', 'Eurimages', 'MEDIA Programme of the European Union', 'Cofimage 5', 'Televisi??n Espa?ñola (TVE)', 'Tele M?¬nchen Fernseh Produktionsgesellschaft (TMG)', ""Club d'Investissement M??dia"", 'Canal+ Espa?ña', 'El??as Querejeta Producciones Cinematogr?\xadficas S.L.', 'Centre National de la Cin??matographie (CNC)', 'Victoires Productions', 'Constellation', 'Lumi??re Pictures', 'Canal+', 'Studio Image', 'Cofimage 4', 'Ossane', 'Phoenix Images']",18000000
Shanghai Triad,37557,"['Minist??re des Affaires ??trang??res', 'Alpha Films', 'La Sept Cin??ma']",0
Dangerous Minds,9909,"['Hollywood Pictures', 'Via Rosa Productions', 'Don Simpson/Jerry Bruckheimer Films']",0
Twelve Monkeys,63,"['Universal Pictures', 'Atlas Entertainment', 'Classico']",29500000
Wings of Courage,78802,['Iwerks Entertainment'],0
Babe,9598,"['Universal Pictures', 'Kennedy Miller Productions']",30000000
Carrington,47018,"['StudioCanal', 'Cin??a', 'Euston Films', 'Freeway Films', 'European Co-production Fund', 'Polygram Filmed Entertainment', 'Orsans Productions']",0
Dead Man Walking,687,"['Havoc', 'PolyGram Filmed Entertainment', 'Working Title Films']",11000000
Across the Sea of Time,139405,['Sony New Technologies'],0
It Takes Two,33689,"['Dualstar Productions', 'Warner Bros.', 'Rysher Entertainment', 'Orr & Cruickshank']",0
Clueless,9603,['Paramount Pictures'],12000000
"Cry, the Beloved Country",34615,"['Miramax', 'Distant Horizon', 'Alpine Pty Limited']",0
Richard III,31174,"['British Screen', 'Mayfair Entertainment International']",0
Dead Presidents,11443,"['Caravan Pictures', 'Underworld Entertainment', 'Hollywood Pictures']",10000000
Restoration,35196,['Miramax Films'],19000000
Mortal Kombat,9312,"['New Line Cinema', 'Threshold Entertainment']",18000000
To Die For,577,"['The Rank Organisation', 'Columbia Pictures Corporation']",20000000
How To Make An American Quilt,11861,"['Universal Pictures', 'Amblin Entertainment']",10000000
Se7en,807,"['New Line Cinema', 'Juno Pix', 'Cecchi Gori Pictures']",33000000
Pocahontas,10530,"['Walt Disney Pictures', 'Walt Disney Feature Animation']",55000000
When Night Is Falling,8391,['Alliance Communications Corporation'],0
The Usual Suspects,629,"['Blue Parrot Productions', 'Bad Hat Harry Productions']",6000000
Guardian Angel,117164,[],0
Mighty Aphrodite,11448,"['Miramax Films', 'Magnolia Pictures']",15000000
Lamerica,49133,[],0
The Big Green,26441,"['Walt Disney Pictures', 'Caravan Pictures']",0
Georgia,97406,"['Miramax Films', 'CiBy 2000']",0
Kids of the Round Table,124057,"['Telefilm Canada', 'Melenny Productions']",0
Home for the Holidays,9089,"['Paramount Pictures', 'Egg Pictures', 'PolyGram Filmed Entertainment']",0
The Postman,11010,[],0
The Confessional,99040,[],0
The Indian in the Cupboard,11359,"['Paramount Pictures', 'Columbia Pictures Corporation', 'The Kennedy/Marshall Company']",45000000
Eye for an Eye,17182,['Paramount Pictures'],20000000
